"","rideable_type","member_casual","year","month","monthname","rides"
"1","classic_bike","casual","2022","01","Jan",6974
"2","classic_bike","casual","2022","02","Feb",8107
"3","classic_bike","casual","2022","03","Mar",35387
"4","classic_bike","casual","2022","04","Apr",47543
"5","classic_bike","casual","2022","05","May",126075
"6","classic_bike","casual","2022","06","Jun",169996
"7","classic_bike","casual","2022","07","Jul",156095
"8","classic_bike","casual","2022","08","Aug",128635
"9","classic_bike","casual","2022","09","Sep",105375
"10","classic_bike","casual","2022","10","Oct",61568
"11","classic_bike","casual","2022","11","Nov",33052
"12","classic_bike","casual","2022","12","Dec",12652
"13","classic_bike","member","2022","01","Jan",48093
"14","classic_bike","member","2022","02","Feb",51307
"15","classic_bike","member","2022","03","Mar",99052
"16","classic_bike","member","2022","04","Apr",119169
"17","classic_bike","member","2022","05","May",197971
"18","classic_bike","member","2022","06","Jun",236664
"19","classic_bike","member","2022","07","Jul",217078
"20","classic_bike","member","2022","08","Aug",215415
"21","classic_bike","member","2022","09","Sep",200767
"22","classic_bike","member","2022","10","Oct",151992
"23","classic_bike","member","2022","11","Nov",111549
"24","classic_bike","member","2022","12","Dec",60698
"25","docked_bike","casual","2022","01","Jan",961
"26","docked_bike","casual","2022","02","Feb",1361
"27","docked_bike","casual","2022","03","Mar",8358
"28","docked_bike","casual","2022","04","Apr",12116
"29","docked_bike","casual","2022","05","May",26409
"30","docked_bike","casual","2022","06","Jun",30640
"31","docked_bike","casual","2022","07","Jul",31055
"32","docked_bike","casual","2022","08","Aug",26323
"33","docked_bike","casual","2022","09","Sep",19826
"34","docked_bike","casual","2022","10","Oct",12614
"35","docked_bike","casual","2022","11","Nov",5886
"36","docked_bike","casual","2022","12","Dec",1925
"37","electric_bike","casual","2022","01","Jan",10585
"38","electric_bike","casual","2022","02","Feb",11948
"39","electric_bike","casual","2022","03","Mar",46137
"40","electric_bike","casual","2022","04","Apr",66758
"41","electric_bike","casual","2022","05","May",127931
"42","electric_bike","casual","2022","06","Jun",168415
"43","electric_bike","casual","2022","07","Jul",218905
"44","electric_bike","casual","2022","08","Aug",203966
"45","electric_bike","casual","2022","09","Sep",171496
"46","electric_bike","casual","2022","10","Oct",134807
"47","electric_bike","casual","2022","11","Nov",61834
"48","electric_bike","casual","2022","12","Dec",30317
"49","electric_bike","member","2022","01","Jan",37157
"50","electric_bike","member","2022","02","Feb",42886
"51","electric_bike","member","2022","03","Mar",95108
"52","electric_bike","member","2022","04","Apr",125663
"53","electric_bike","member","2022","05","May",156472
"54","electric_bike","member","2022","06","Jun",163489
"55","electric_bike","member","2022","07","Jul",200355
"56","electric_bike","member","2022","08","Aug",211593
"57","electric_bike","member","2022","09","Sep",203875
"58","electric_bike","member","2022","10","Oct",197704
"59","electric_bike","member","2022","11","Nov",125414
"60","electric_bike","member","2022","12","Dec",76214
